id = 999
editor = JSAG

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2025
reference = arXiv:9999.99999
inspiretex = Alvarado:2026saf


### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2026 ALU
#                               error
# Q2    xB    -t   phi  ALU   stat  syst
#########################################
1.336 0.135 0.0290816 123.3 0.2285 0.0216 0.0087
1.336 0.136 0.0285712 146.2 0.1227 0.0228 0.0046
1.328 0.135 0.0285711 168.6 0.0786 0.0241 0.0033
1.329 0.136 0.0285613 191 -0.0256 0.0254 0.0034
1.323 0.136 0.0284065 213.6 -0.1199 0.0261 0.0064
1.321 0.137 0.0284265 236.2 -0.2113 0.0261 0.0091
1.313 0.137 0.0282582 258.8 -0.1899 0.0257 0.0063
1.303 0.137 0.028466 281.5 -0.2381 0.0246 0.0116
1.302 0.137 0.0287464 304.1 -0.1492 0.023 0.0071
1.3 0.137 0.0292996 326.9 -0.1712 0.0208 0.0063
1.319 0.203 0.0941625 11 0.0543 0.0166 0.0021
1.31 0.204 0.0942416 33.4 0.1127 0.0171 0.0064
1.309 0.206 0.0941225 55.7 0.1695 0.02 0.0095
1.299 0.208 0.0932417 78.6 0.1593 0.0233 0.0126
1.301 0.21 0.0932256 101 0.1775 0.0259 0.0058
1.304 0.211 0.0930109 123.4 0.1185 0.0287 0.0083
1.3 0.211 0.0929289 146.1 0.0761 0.03 0.0093
1.31 0.209 0.0929655 168.7 0.06 0.0297 0.0049
1.3 0.21 0.0938511 191 -0.0454 0.0295 0.006
1.295 0.212 0.0933695 213.3 -0.0466 0.0307 0.0096
1.297 0.213 0.0921924 236.3 -0.0805 0.0316 0.0098
1.293 0.213 0.0926982 258.9 -0.227 0.0294 0.0204
1.299 0.213 0.0927042 281.7 -0.1552 0.0285 0.0118
1.301 0.211 0.0929055 304.5 -0.1666 0.0249 0.0065
1.312 0.208 0.093474 326.7 -0.1207 0.0204 0.0086
1.312 0.204 0.0942023 349.4 -0.0659 0.0174 0.0061
1.308 0.192 0.0567479 11.1 0.0458 0.0253 0.0066
1.308 0.192 0.056642 33.6 0.1106 0.027 0.0045
1.302 0.193 0.0564532 55.8 0.2117 0.028 0.0114
1.295 0.194 0.0567129 78.4 0.2103 0.0318 0.0136
1.297 0.195 0.0565144 101 0.1966 0.0334 0.01
1.298 0.196 0.0562053 123.2 0.1471 0.0357 0.0066
1.296 0.196 0.0559047 145.9 -0.0345 0.0381 0.0038
1.29 0.196 0.0561242 168.8 0.0084 0.0374 0.0122
1.291 0.195 0.0556952 190.9 -0.066 0.0372 0.0142
1.287 0.198 0.0557293 213.5 -0.071 0.0376 0.0173
1.297 0.197 0.0555049 236.4 -0.1019 0.0377 0.0088
1.293 0.198 0.0565325 259.1 -0.2379 0.0371 0.0189
1.287 0.196 0.055776 281.3 -0.2369 0.0407 0.0081
1.293 0.195 0.0559155 304 -0.1997 0.0316 0.0071
1.299 0.194 0.0563715 326.5 -0.1404 0.0288 0.0083
1.307 0.193 0.0564553 349.2 -0.0657 0.0256 0.0066
1.303 0.178 0.0348949 10.5 0.0017 0.0884 0.008
1.301 0.178 0.03496 55.8 0.169 0.0838 0.0263
1.302 0.178 0.0348817 102 0.2688 0.0985 0.0464
1.286 0.178 0.0348725 123.3 0.0784 0.0998 0.0119
1.312 0.178 0.0348737 147.3 0.0045 0.0995 0.0078
1.293 0.179 0.0349513 169 0.0763 0.0965 0.0604
1.289 0.178 0.0349276 190.1 0.1338 0.104 0.0122
1.313 0.179 0.0350033 214 -0.1913 0.0995 0.0391
1.298 0.178 0.0347838 236.9 -0.3197 0.088 0.0324
1.273 0.178 0.0349444 258.8 -0.1879 0.0938 0.0177
1.255 0.179 0.0349445 281.7 -0.2109 0.0896 0.0163
1.294 0.178 0.0350009 325.9 -0.1744 0.1056 0.0142
1.297 0.177 0.0349604 349.4 -0.1268 0.0753 0.025
1.399 0.285 0.104336 10.4 0.0276 0.0924 0.0112
1.391 0.283 0.104301 55.9 0.0928 0.0888 0.0126
1.41 0.284 0.102489 78.8 0.1862 0.0933 0.0304
1.398 0.285 0.104341 101.3 0.1718 0.093 0.0266
1.403 0.283 0.103161 123.6 0.1789 0.0979 0.0365
1.389 0.285 0.102548 145.9 -0.06 0.1056 0.0243
1.406 0.284 0.102209 168.2 -0.0846 0.1081 0.0308
1.4 0.286 0.103671 189.7 0.0624 0.1115 0.0121
1.419 0.285 0.104479 213.8 -0.1103 0.1048 0.0199
1.402 0.284 0.103978 236.5 -0.0535 0.0992 0.0278
1.393 0.284 0.103179 258.6 -0.266 0.0877 0.0397
1.39 0.286 0.10244 281.5 -0.2352 0.1079 0.0224
1.405 0.285 0.103364 304.7 -0.0967 0.0832 0.0348
1.394 0.285 0.103784 325.6 0.0496 0.095 0.0245
1.403 0.285 0.104 349 -0.0501 0.0898 0.0215
1.699 0.115 0.0903577 11.8 0.0475 0.0117 0.0026
1.708 0.113 0.093185 33.4 0.1061 0.0111 0.0027
1.706 0.112 0.0929538 55 0.1651 0.0142 0.0043
1.719 0.111 0.0922347 76 0.1966 0.0233 0.0051
1.702 0.111 0.0888472 98.1 0.1104 0.0579 0.0033
1.677 0.115 0.0950845 125.9 0.2594 0.0779 0.0086
1.702 0.114 0.0953694 146.8 0.1362 0.0648 0.0042
1.699 0.113 0.09582 168.8 -0.0032 0.0611 0.0037
1.701 0.114 0.0946593 188.9 -0.004 0.069 0.0041
1.681 0.115 0.089243 211 0.149 0.1185 0.0068
1.645 0.114 0.0905771 234.1 -0.2919 0.2726 0.0086
1.722 0.109 0.0878802 263.9 -0.1196 0.0643 0.0061
1.72 0.111 0.0926274 283.9 -0.1374 0.0232 0.0034
1.708 0.113 0.0933194 305 -0.1509 0.0141 0.0045
1.708 0.113 0.093096 326.5 -0.0938 0.0111 0.0025
1.702 0.115 0.0904544 348.3 -0.0354 0.0118 0.0013
1.707 0.113 0.0541739 11.1 0.0263 0.0112 0.0026
1.705 0.112 0.0543532 33 0.0963 0.0124 0.0034
1.709 0.112 0.0540825 55 0.1126 0.0157 0.0044
1.718 0.111 0.0535944 77 0.169 0.0227 0.005
1.723 0.109 0.0515455 98.6 0.2075 0.0417 0.0062
1.702 0.107 0.0488158 119.2 0.1487 0.1304 0.0049
1.653 0.103 0.0475 144.7 0.5661 0.4971 0.0091
1.718 0.108 0.0480107 240.6 -0.2282 0.115 0.007
1.731 0.11 0.0521244 261.6 -0.1226 0.0426 0.0044
