id = 999
editor = JSAG

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2025
reference = arXiv:9999.99999
inspiretex = Alvarado:2026saf


### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = column4

### Data
table=
#
#  CLAS 2026 ALU FTn
#Q2  xB  tm  FTn  Cn  Cn_stat  Cn_sys
#########################################
Q2 xB t FTn Cn Cn_stat Cn_sys
4.0342 0.4686 0.3573 -1 0.1446 0.0479 0.0648
5.5299 0.3711 0.6562 -1 0.2772 0.0201 0.0501
5.5175 0.3863 0.3213 -1 0.2287 0.0200 0.0154
5.3806 0.3649 0.2146 -1 0.1421 0.0314 0.0203
5.2240 0.3352 0.1562 -1 0.2378 0.1287 0.0166
6.3173 0.5076 0.6480 -1 0.2442 0.0166 0.0362
6.0283 0.4664 0.3616 -1 0.1887 0.0610 0.0248
1.2408 0.0894 0.6326 -2 0.0025 0.0098 0.0094
1.2391 0.0962 0.3142 -2 0.0246 0.0106 0.0023
1.2489 0.0966 0.2058 -2 0.0093 0.0110 0.0028
1.2625 0.0950 0.1428 -2 0.0086 0.0118 0.0025
1.2671 0.0927 0.0924 -2 -0.0005 0.0077 0.0012
1.2569 0.0897 0.0537 -2 0.0033 0.0062 0.0013
1.2073 0.0844 0.0216 -2 -0.0014 0.0040 0.0001
1.2618 0.1441 0.6211 -2 0.0343 0.0099 0.0096
1.3261 0.1354 0.3246 -2 0.0294 0.0155 0.0053
1.3821 0.1332 0.2105 -2 0.0171 0.0146 0.0081
1.3673 0.1375 0.1441 -2 0.0247 0.0140 0.0026
1.3226 0.1412 0.0927 -2 0.0056 0.0112 0.0004
1.3075 0.1413 0.0539 -2 0.0317 0.0113 0.0020
1.3158 0.1361 0.0290 -2 -0.0021 0.0105 0.0003
1.3043 0.2013 0.6902 -2 0.0226 0.0101 0.0074
1.2811 0.2191 0.3190 -2 0.0379 0.0137 0.0130
1.2836 0.2171 0.2059 -2 0.0436 0.0142 0.0137
1.2881 0.2140 0.1441 -2 0.0483 0.0111 0.0063
1.3062 0.2080 0.0935 -2 0.0237 0.0105 0.0034
1.2983 0.1945 0.0563 -2 0.0328 0.0127 0.0040
1.2935 0.1781 0.0349 -2 0.0133 0.0464 0.0062
1.4500 0.2927 0.6407 -2 0.0014 0.0166 0.0035
1.4310 0.2938 0.3176 -2 0.0236 0.0187 0.0263
1.4282 0.2929 0.2076 -2 0.0118 0.0260 0.0052
1.4271 0.2915 0.1438 -2 0.0452 0.0293 0.0136
1.4000 0.2845 0.1035 -2 -0.0036 0.0725 0.0018
1.7152 0.1119 0.6575 -2 -0.0065 0.0545 0.0004
1.7077 0.1128 0.3152 -2 0.0228 0.0204 0.0057
1.7015 0.1133 0.2057 -2 0.0181 0.0269 0.0049
1.7010 0.1134 0.1423 -2 -0.0112 0.1049 0.0036
1.7061 0.1132 0.0922 -2 0.0121 0.0162 0.0007
1.7086 0.1123 0.0540 -2 -0.0085 0.0787 0.0004
1.7067 0.1113 0.0258 -2 -0.0035 0.0100 0.0009
1.9565 0.1437 0.6025 -2 0.0026 0.0093 0.0054
1.9614 0.1443 0.3125 -2 0.0120 0.0095 0.0024
1.9816 0.1415 0.2065 -2 -0.0116 0.0052 0.0005
1.9903 0.1391 0.1437 -2 -0.0111 0.0032 0.0005
1.9857 0.1380 0.0941 -2 -0.0104 0.0026 0.0005
1.9736 0.1372 0.0548 -2 -0.0091 0.0038 0.0005
1.9515 0.1348 0.0299 -2 -0.0077 0.0630 0.0004
2.0133 0.1998 0.6241 -2 0.0290 0.0134 0.0472
2.0755 0.1992 0.3226 -2 0.0098 0.0135 0.0213
2.0429 0.2092 0.2070 -2 0.0166 0.0140 0.0054
2.0120 0.2108 0.1434 -2 0.0113 0.0117 0.0047
2.0055 0.2072 0.0935 -2 -0.0015 0.0096 0.0010
2.0076 0.1921 0.0560 -2 -0.0007 0.0107 0.0114
1.9938 0.1775 0.0350 -2 -0.0101 0.0884 0.0011
1.9895 0.3154 0.7014 -2 0.0378 0.0160 0.0357
1.9985 0.3244 0.3195 -2 0.0476 0.0127 0.0200
1.9974 0.3200 0.2080 -2 0.0366 0.0137 0.0098
1.9852 0.3042 0.1456 -2 0.0330 0.0180 0.0085
1.9843 0.2856 0.1054 -2 0.0407 0.0322 0.0117
2.5217 0.1617 0.6285 -2 0.0144 0.0240 0.0107
2.5058 0.1630 0.3115 -2 0.0385 0.0303 0.0023
2.5068 0.1630 0.2047 -2 0.0020 0.0252 0.0043
2.5113 0.1622 0.1434 -2 -0.0115 0.0064 0.0007
2.5066 0.1620 0.0943 -2 -0.0080 0.0675 0.0005
2.5088 0.1616 0.0558 -2 0.0178 0.0376 0.0012
2.5061 0.1581 0.0322 -2 0.0342 0.0419 0.0316
2.8011 0.2070 0.6014 -2 -0.0047 0.0100 0.0083
2.8024 0.1995 0.3163 -2 -0.0130 0.1112 0.0011
2.8051 0.1978 0.2080 -2 -0.0133 0.0078 0.0007
2.8030 0.1992 0.1446 -2 -0.0125 0.0033 0.0007
2.7914 0.2032 0.0952 -2 -0.0113 0.0160 0.0005
2.7635 0.1934 0.0575 -2 -0.0087 0.0094 0.0005
2.7522 0.1774 0.0350 -2 0.0357 0.0192 0.0058
2.8079 0.3396 0.6776 -2 0.0408 0.0134 0.0284
2.8095 0.3410 0.3156 -2 0.0561 0.0163 0.0162
2.8177 0.3209 0.2082 -2 0.0170 0.0147 0.0019
2.8155 0.3016 0.1460 -2 0.0125 0.0190 0.0019
2.8165 0.2837 0.1063 -2 -0.0011 0.0235 0.0029
3.6188 0.2416 0.5863 -2 -0.0049 0.0128 0.0032
3.6132 0.2376 0.3206 -2 -0.0063 0.0136 0.0032
3.5838 0.2340 0.2101 -2 -0.0107 0.0083 0.0007
3.5569 0.2331 0.1450 -2 -0.0105 0.0078 0.0007
3.5295 0.2343 0.0971 -2 -0.0028 0.0163 0.0010
3.4231 0.2211 0.0614 -2 -0.0054 0.0541 0.0008
4.1694 0.3185 0.6423 -2 -0.0129 0.0164 0.0275
4.1201 0.3326 0.3193 -2 -0.0012 0.0131 0.0073
4.0401 0.3229 0.2094 -2 0.0084 0.0125 0.0009
3.9595 0.3036 0.1460 -2 0.0155 0.0157 0.0010
3.8751 0.2842 0.1072 -2 -0.0071 0.0114 0.0007
4.0466 0.5002 0.6467 -2 0.0488 0.0168 0.0224
4.0342 0.4686 0.3573 -2 0.0209 0.0435 0.0107
5.5299 0.3711 0.6562 -2 -0.0139 0.0331 0.0032
5.5175 0.3863 0.3213 -2 -0.0016 0.0162 0.0003
5.3806 0.3649 0.2146 -2 -0.0071 0.0066 0.0010
5.2240 0.3352 0.1562 -2 0.1492 0.0947 0.0149
6.3173 0.5076 0.6480 -2 0.0075 0.0168 0.0060
6.0283 0.4664 0.3616 -2 0.0341 0.0499 0.0045
